school_id,school_name,headline,description,category,se_tag,ii_tag,sd_tag,year,contact_name,contact_known,url,follow_up_note
georgia_state,Georgia State University College of Law,New clinic launched Fall 2022,"Georgia State launched the Community Development & Entrepreneurship Law Clinic with explicit focus on social enterprise clients.",New Program,TRUE,FALSE,FALSE,2022,Julian M. Hill,FALSE,,Worth reaching out to compare notes on clinic launch
case_western,Case Western Reserve University School of Law,International Development Law Lab focuses on Global South,"New lab launched in 2024 focused on social impact investing in the Global South. Anchor client is Impact Investment Exchange (IIX).",New Program,FALSE,TRUE,TRUE,2024,Rumu Sarkar,FALSE,,Interesting Global South focus - potential collaboration?
penn_state,Penn State Dickinson Law,2024 ESG Symposium,"One-day symposium exploring ESG and responsible business practices. 5.0 hours of CLE credit awarded.",One-off Event,FALSE,TRUE,TRUE,2024,,FALSE,,Monitor if this becomes recurring
northeastern,Northeastern University School of Law,Program on Corporation Law and Global Society launched,"New program launched Fall 2022 alongside Community Business Clinic. Website sparse but mission aligns with corporate responsibility themes.",Emerging Interest,TRUE,FALSE,FALSE,2022,Dan Danielsen,FALSE,,Reach out to learn more about program direction
byu,Brigham Young University J. Reuben Clark Law School,Law and Entrepreneurship Clinic serves social entrepreneurs,"Clinic specifically states they take on social entrepreneurs as clients. Business school has Social Venture Academy.",Notable Detail,TRUE,FALSE,FALSE,,Curtis Anderson,FALSE,,Connection to business school programs worth exploring
american,American University Washington College of Law,Transactional Law Clinic Collaborative formed,"Clinics from American and Georgetown formed collaborative to provide legal resources to small businesses and nonprofits in DMV area.",Emerging Interest,TRUE,FALSE,FALSE,2023,Priya Baskaran,FALSE,,Multi-school collaboration model
duke,Duke University School of Law,Community Enterprise Clinic represents social entrepreneurs,"Clinic explicitly mentions representing nonprofit organizations and social entrepreneurs in Durham.",Notable Detail,TRUE,FALSE,FALSE,,Andrew Foster,FALSE,,Strong local community focus
loyola_chicago,Loyola University Chicago Quinlan School of Business,Leading for Good Conference,"Annual conference bringing together 350+ executives seeking skills to integrate business strategy and social purpose. Business school - not law.",One-off Event,TRUE,FALSE,FALSE,2024,,FALSE,,Not a law school event but could be partnership opportunity
notre_dame,Notre Dame Law School,Symposium on Human Rights Climate Change and Sustainable Development,"Organized by Global Human Rights Clinic and Kellogg Institute. Now in second year.",Emerging Interest,FALSE,FALSE,TRUE,2024,,FALSE,,Partnership between clinic and institute
uc_irvine,University of California Irvine School of Law,Impact Investing in Tribal Projects Workshop,"Workshop connecting Indigenous Nations and impact investment communities for environmental justice.",One-off Event,FALSE,TRUE,TRUE,2024,,FALSE,,Unique focus area - niche expertise
cardozo,Benjamin N. Cardozo School of Law at Yeshiva University,Heyman Center mentions ESG,"Samuel & Ronnie Heyman Center on Corporate Governance mentions innovation and ESG on website. Worth monitoring.",Notable Detail,FALSE,TRUE,FALSE,,,FALSE,,ESG language on center website - could be emerging focus
columbia_ccsi,Columbia Law School,CCSI offers executive training programs,"CCSI offers three two-week executive trainings on extractive industries, investment treaties, and sustainable agriculture. MOOCs also available.",Notable Detail,FALSE,TRUE,TRUE,,Lisa Sachs,TRUE,,Practitioner-focused offerings - different model than most
