school_id,center_name,se_strength,ii_strength,sd_strength,description,url,year_founded
nyu,Grunin Center for Law and Social Entrepreneurship,3,3,3,"The only center of its kind in a U.S. law school, dedicated to social entrepreneurship, impact investing, and sustainable development.",https://www.law.nyu.edu/centers/grunin,2015
columbia,Columbia Center on Sustainable Investment,2,3,3,"Joint center between the law school and Columbia Climate School focused on sustainable investment and development.",https://ccsi.columbia.edu/,2006
georgetown,Denny Center for Democratic Capitalism,2,2,2,"Focuses on reconciling free market capitalism with democratic values, including ESG and stakeholder theory.",https://www.law.georgetown.edu/denny-center/,
georgetown,Social Enterprise and Nonprofit Clinic Program,3,1,1,"Supports the Social Enterprise & Nonprofit Law Clinic with research and programming.",https://www.law.georgetown.edu/experiential-learning/clinics/social-enterprise-nonprofit-law-clinic/,
northwestern,Donald Pritzker Entrepreneurship Law Center,3,2,2,"Offers comprehensive programming including annual symposium on innovation, sustainability, and law.",https://www.law.northwestern.edu/research-faculty/clbe/dpelc/,
berkeley,Berkeley Center for Law and Business,2,2,2,"Includes social enterprise programming and executive education on ESG.",https://www.law.berkeley.edu/research/berkeley-center-for-law-and-business/,
bc,Program on Innovation and Entrepreneurship,2,2,1,"Frames issues in business and innovation in terms of serving society, including social mobility and human development.",https://www.bc.edu/bc-web/schools/law/academics-faculty/centers/pie.html,2017
brooklyn,CUBE: The Center for Urban Business Entrepreneurship,2,1,0,"Offers opportunities for students to work with businesses, startups, and social entrepreneurs.",https://www.brooklaw.edu/academics/clinicalprogram/cube,
northeastern,Program on the Corporation Law and Global Society,2,1,1,"Aims to expand the corporate law paradigm and shape corporations to contribute to a more just global order.",https://law.northeastern.edu/academics/programs/program-on-the-corporation/,2022
pace,Sustainable Business Law Hub,1,1,3,"Incubator space and think tank devoted to addressing global sustainability challenges through policy and research.",https://law.pace.edu/sustainable-business-law-hub,2021
uw,Sustainable Development Law Center,2,1,2,"Focuses on environmental sustainability and development law.","",
virginia,Program in Law and Public Service,2,2,2,"Includes programming on corporate responsibility and social impact.","",
